     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      7168,         0,         0,   0.639,chromobius,85bcdce8107bc60244ab91e109bb67b88bcc5da5e8029ab70fee3815d05ba2fc,"{""d"":9,""p"":0.0003039195382313198,""r"":36}",
     11264,         0,         0,   0.871,chromobius,db40c93e3549aacc86d995f83734c17627e0d29fbae8e6d3e9431e224227ff6e,"{""d"":9,""p"":0.0002592943797404667,""r"":36}",
      8192,         2,         0,   0.795,chromobius,85bcdce8107bc60244ab91e109bb67b88bcc5da5e8029ab70fee3815d05ba2fc,"{""d"":9,""p"":0.0003039195382313198,""r"":36}",
     15360,         0,         0,    1.14,chromobius,db40c93e3549aacc86d995f83734c17627e0d29fbae8e6d3e9431e224227ff6e,"{""d"":9,""p"":0.0002592943797404667,""r"":36}",
     12288,         2,         0,    1.18,chromobius,85bcdce8107bc60244ab91e109bb67b88bcc5da5e8029ab70fee3815d05ba2fc,"{""d"":9,""p"":0.0003039195382313198,""r"":36}",
     20480,         0,         0,    1.56,chromobius,db40c93e3549aacc86d995f83734c17627e0d29fbae8e6d3e9431e224227ff6e,"{""d"":9,""p"":0.0002592943797404667,""r"":36}",
     64512,         0,         0,    4.30,chromobius,9aeb51568bfb43d85d47916214702632d2e51185b5a2892d773c4d6514f6b90e,"{""d"":9,""p"":0.000221221629107045,""r"":36}",
     16384,         0,         0,    1.56,chromobius,85bcdce8107bc60244ab91e109bb67b88bcc5da5e8029ab70fee3815d05ba2fc,"{""d"":9,""p"":0.0003039195382313198,""r"":36}",
      1344,       652,         0,    6.89,chromobius,d371043a9982f5be8326d04b2d6b8795f4ec577bf841e25ea1a81e3ce8024b2b,"{""d"":9,""p"":0.008531678524172805,""r"":36}",
      1984,      1012,         0,    12.1,chromobius,964edf6c7c332a8d5cfa70199637aaa1cc3285ca68dc7736db06ea3284c4af38,"{""d"":9,""p"":0.01,""r"":36}",
       273,         0,         0,   0.028,chromobius,03c8e9f29b1d6baa14724201f89d901da22f33cf231b11974b4ddb7747adc8e6,"{""d"":9,""p"":0.0003562247890262444,""r"":36}",
      1024,         0,         0,   0.105,chromobius,03c8e9f29b1d6baa14724201f89d901da22f33cf231b11974b4ddb7747adc8e6,"{""d"":9,""p"":0.0003562247890262444,""r"":36}",
      1024,         0,         0,   0.102,chromobius,03c8e9f29b1d6baa14724201f89d901da22f33cf231b11974b4ddb7747adc8e6,"{""d"":9,""p"":0.0003562247890262444,""r"":36}",
      1024,         0,         0,   0.095,chromobius,03c8e9f29b1d6baa14724201f89d901da22f33cf231b11974b4ddb7747adc8e6,"{""d"":9,""p"":0.0003562247890262444,""r"":36}",
      1024,         0,         0,   0.098,chromobius,03c8e9f29b1d6baa14724201f89d901da22f33cf231b11974b4ddb7747adc8e6,"{""d"":9,""p"":0.0003562247890262444,""r"":36}",
      1024,         0,         0,   0.095,chromobius,03c8e9f29b1d6baa14724201f89d901da22f33cf231b11974b4ddb7747adc8e6,"{""d"":9,""p"":0.0003562247890262444,""r"":36}",
      1024,         0,         0,   0.097,chromobius,03c8e9f29b1d6baa14724201f89d901da22f33cf231b11974b4ddb7747adc8e6,"{""d"":9,""p"":0.0003562247890262444,""r"":36}",
      2048,         0,         0,   0.193,chromobius,03c8e9f29b1d6baa14724201f89d901da22f33cf231b11974b4ddb7747adc8e6,"{""d"":9,""p"":0.0003562247890262444,""r"":36}",
      2048,         1,         0,   0.198,chromobius,03c8e9f29b1d6baa14724201f89d901da22f33cf231b11974b4ddb7747adc8e6,"{""d"":9,""p"":0.0003562247890262444,""r"":36}",
      3072,         2,         0,   0.313,chromobius,03c8e9f29b1d6baa14724201f89d901da22f33cf231b11974b4ddb7747adc8e6,"{""d"":9,""p"":0.0003562247890262444,""r"":36}",
     28672,         1,         0,    2.20,chromobius,db40c93e3549aacc86d995f83734c17627e0d29fbae8e6d3e9431e224227ff6e,"{""d"":9,""p"":0.0002592943797404667,""r"":36}",
      3072,         1,         0,   0.319,chromobius,03c8e9f29b1d6baa14724201f89d901da22f33cf231b11974b4ddb7747adc8e6,"{""d"":9,""p"":0.0003562247890262444,""r"":36}",
     23552,         2,         0,    2.26,chromobius,85bcdce8107bc60244ab91e109bb67b88bcc5da5e8029ab70fee3815d05ba2fc,"{""d"":9,""p"":0.0003039195382313198,""r"":36}",
      4096,         1,         0,   0.425,chromobius,03c8e9f29b1d6baa14724201f89d901da22f33cf231b11974b4ddb7747adc8e6,"{""d"":9,""p"":0.0003562247890262444,""r"":36}",
    138240,         2,         0,    8.37,chromobius,ef319fb3c976f34bd0d9f3548bf94401473161e521a8519f112c51e024784cb6,"{""d"":9,""p"":0.00018873918221350977,""r"":36}",
      6144,         1,         0,   0.609,chromobius,03c8e9f29b1d6baa14724201f89d901da22f33cf231b11974b4ddb7747adc8e6,"{""d"":9,""p"":0.0003562247890262444,""r"":36}",
      8192,         1,         0,   0.830,chromobius,03c8e9f29b1d6baa14724201f89d901da22f33cf231b11974b4ddb7747adc8e6,"{""d"":9,""p"":0.0003562247890262444,""r"":36}",
     39936,         3,         0,    3.09,chromobius,db40c93e3549aacc86d995f83734c17627e0d29fbae8e6d3e9431e224227ff6e,"{""d"":9,""p"":0.0002592943797404667,""r"":36}",
     12288,         3,         0,    1.21,chromobius,03c8e9f29b1d6baa14724201f89d901da22f33cf231b11974b4ddb7747adc8e6,"{""d"":9,""p"":0.0003562247890262444,""r"":36}",
