     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      2321,         0,         0,   0.011,chromobius,7ea6087864137e9c07715352223914b6fbc7d063d1c8d89ac9ac0fa1d5df784e,"{""d"":5,""p"":0.0001,""r"":20}",
      2321,         3,         0,   0.014,chromobius,b676ec8e9ffca4a6f94bc0797f1bd9316479dcb02a17a0d94dae5c62f26bc814,"{""d"":5,""p"":0.00013738237958832623,""r"":20}",
      2321,         2,         0,   0.011,chromobius,09d98c1a4bdbad1081f31818c9cd3fc9b26c7f8ba2e7bed07fc897c7006a4aab,"{""d"":5,""p"":0.00011721022975334806,""r"":20}",
      1297,         4,         0,   0.013,chromobius,4989f0d435a58c6414b526784c8d241f66cae7636f6636ff42c3ad3b780a8e22,"{""d"":5,""p"":0.0003039195382313198,""r"":20}",
      1297,         9,         0,   0.018,chromobius,c2e13616256761cb936bdeb6e5497f4e0501286eae45194552fc493234763abe,"{""d"":5,""p"":0.00041753189365604,""r"":20}",
      1297,         0,         0,   0.010,chromobius,af34096555215c48504140605e31b928164a43da472fb376e0d4e4c6e87d4d10,"{""d"":5,""p"":0.00018873918221350977,""r"":20}",
      2321,         2,         0,   0.013,chromobius,f345024152b4d43ce854495ddea005c83a99b19842c95af6e42fe8d74ec0a841,"{""d"":5,""p"":0.00016102620275609394,""r"":20}",
      1297,         2,         0,   0.011,chromobius,35d86cb7a8667c5fd9cafacc3b0d9f8c40389488cbb79b7ee1a5655cf0cbdba2,"{""d"":5,""p"":0.000221221629107045,""r"":20}",
      1297,         8,         0,   0.023,chromobius,2e542d79e61f58389757f0be1dc321328ed2f9c8dddf2446f79bef3e8c6dead2,"{""d"":5,""p"":0.0005736152510448681,""r"":20}",
      5120,         1,         0,   0.015,chromobius,7ea6087864137e9c07715352223914b6fbc7d063d1c8d89ac9ac0fa1d5df784e,"{""d"":5,""p"":0.0001,""r"":20}",
      1297,        11,         0,   0.019,chromobius,5a1593f54b5b95eebd6bf40fc816b82cd5f8fdf3554e3cbeedff9051598b1c9e,"{""d"":5,""p"":0.0004893900918477494,""r"":20}",
      4096,         1,         0,   0.015,chromobius,09d98c1a4bdbad1081f31818c9cd3fc9b26c7f8ba2e7bed07fc897c7006a4aab,"{""d"":5,""p"":0.00011721022975334806,""r"":20}",
      4096,         3,         0,   0.016,chromobius,b676ec8e9ffca4a6f94bc0797f1bd9316479dcb02a17a0d94dae5c62f26bc814,"{""d"":5,""p"":0.00013738237958832623,""r"":20}",
      1297,         5,         0,   0.021,chromobius,6e08a0f4925d72e1e6de697d4bd39ab95c368816c86b17ae383c60906e21d8d8,"{""d"":5,""p"":0.0002592943797404667,""r"":20}",
      2048,        13,         0,   0.017,chromobius,4989f0d435a58c6414b526784c8d241f66cae7636f6636ff42c3ad3b780a8e22,"{""d"":5,""p"":0.0003039195382313198,""r"":20}",
      3072,         1,         0,   0.014,chromobius,f345024152b4d43ce854495ddea005c83a99b19842c95af6e42fe8d74ec0a841,"{""d"":5,""p"":0.00016102620275609394,""r"":20}",
      1297,         1,         0,   0.022,chromobius,f50e48ff5622799a398a6477956f7993d824ff17fff44242c07ec40ebf9aea0f,"{""d"":5,""p"":0.0003562247890262444,""r"":20}",
      3072,         3,         0,   0.017,chromobius,af34096555215c48504140605e31b928164a43da472fb376e0d4e4c6e87d4d10,"{""d"":5,""p"":0.00018873918221350977,""r"":20}",
      3072,         8,         0,   0.019,chromobius,35d86cb7a8667c5fd9cafacc3b0d9f8c40389488cbb79b7ee1a5655cf0cbdba2,"{""d"":5,""p"":0.000221221629107045,""r"":20}",
      1024,        11,         0,   0.018,chromobius,2e542d79e61f58389757f0be1dc321328ed2f9c8dddf2446f79bef3e8c6dead2,"{""d"":5,""p"":0.0005736152510448681,""r"":20}",
      2048,        12,         0,   0.024,chromobius,c2e13616256761cb936bdeb6e5497f4e0501286eae45194552fc493234763abe,"{""d"":5,""p"":0.00041753189365604,""r"":20}",
      6144,         2,         0,   0.019,chromobius,7ea6087864137e9c07715352223914b6fbc7d063d1c8d89ac9ac0fa1d5df784e,"{""d"":5,""p"":0.0001,""r"":20}",
