     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      1297,         2,         0,   0.012,chromobius,d8e9d71d34c1975987958678e3f1f0e3e71cc28c2ad46a8ac275d9b67ca6b78b,"{""d"":5,""p"":0.000221221629107045,""r"":20}",
      1297,         1,         0,   0.011,chromobius,a8578ec9fec37e078263c0612738a66d82b8dd5557f5c6061b0a6eedd5a602cd,"{""d"":5,""p"":0.00016102620275609394,""r"":20}",
      1297,         3,         0,   0.018,chromobius,79cf4b018da959f958f81e40242b2dc54ae663a57fa0e453f60d5a1c9171e298,"{""d"":5,""p"":0.0002592943797404667,""r"":20}",
      1297,         0,         0,   0.012,chromobius,f41f237c719f80b72a98cb8d8743e6fc55971f8e64a190a86b32a0433a5ec10f,"{""d"":5,""p"":0.0001,""r"":20}",
      1297,         2,         0,   0.018,chromobius,8d50491420beed2346c615e1e9140d4075f738a553302b3c3e708d89e334fb1c,"{""d"":5,""p"":0.00013738237958832623,""r"":20}",
         1,         0,         0,   0.004,chromobius,9b65eef54a31c278bbdd937ed4d102b3bedba3a1f5f07857b31b35c179dcab7b,"{""d"":5,""p"":0.00041753189365604,""r"":20}",
         1,         0,         0,   0.004,chromobius,d10e41061ada3165b92a471c0f58913bd6be0ef4b3603c7c73c7a2f9dbc1cc4b,"{""d"":5,""p"":0.00011721022975334806,""r"":20}",
      1297,         1,         0,   0.011,chromobius,9985b576a5c2d5b2050e38c2cc1bd81575ebe2bce730d2e8f85b24b16235651a,"{""d"":5,""p"":0.00018873918221350977,""r"":20}",
       273,         2,         0,   0.012,chromobius,4282ad35409a1af9cea79974b30708f9311750ee1a8e5529fbf9c3192aa24de6,"{""d"":5,""p"":0.0003562247890262444,""r"":20}",
      3072,         7,         0,   0.019,chromobius,d8e9d71d34c1975987958678e3f1f0e3e71cc28c2ad46a8ac275d9b67ca6b78b,"{""d"":5,""p"":0.000221221629107045,""r"":20}",
      2048,         6,         0,   0.015,chromobius,79cf4b018da959f958f81e40242b2dc54ae663a57fa0e453f60d5a1c9171e298,"{""d"":5,""p"":0.0002592943797404667,""r"":20}",
      5120,         0,         0,   0.016,chromobius,f41f237c719f80b72a98cb8d8743e6fc55971f8e64a190a86b32a0433a5ec10f,"{""d"":5,""p"":0.0001,""r"":20}",
      3344,         0,         0,   0.014,chromobius,d10e41061ada3165b92a471c0f58913bd6be0ef4b3603c7c73c7a2f9dbc1cc4b,"{""d"":5,""p"":0.00011721022975334806,""r"":20}",
      1296,         8,         0,   0.015,chromobius,9b65eef54a31c278bbdd937ed4d102b3bedba3a1f5f07857b31b35c179dcab7b,"{""d"":5,""p"":0.00041753189365604,""r"":20}",
      4096,         1,         0,   0.017,chromobius,8d50491420beed2346c615e1e9140d4075f738a553302b3c3e708d89e334fb1c,"{""d"":5,""p"":0.00013738237958832623,""r"":20}",
         1,         0,         0,   0.016,chromobius,d247d66482da962abba02ce32391023cbb0548cab6180fc26263edf634c34c12,"{""d"":5,""p"":0.0005736152510448681,""r"":20}",
      1297,        10,         0,   0.022,chromobius,78637f88b424613574f5c4dd12f9af8eefddde555645e81b6d33e649be2dea89,"{""d"":5,""p"":0.0004893900918477494,""r"":20}",
      3072,         5,         0,   0.028,chromobius,a8578ec9fec37e078263c0612738a66d82b8dd5557f5c6061b0a6eedd5a602cd,"{""d"":5,""p"":0.00016102620275609394,""r"":20}",
      3072,         9,         0,   0.017,chromobius,9985b576a5c2d5b2050e38c2cc1bd81575ebe2bce730d2e8f85b24b16235651a,"{""d"":5,""p"":0.00018873918221350977,""r"":20}",
      2048,         6,         0,   0.021,chromobius,4282ad35409a1af9cea79974b30708f9311750ee1a8e5529fbf9c3192aa24de6,"{""d"":5,""p"":0.0003562247890262444,""r"":20}",
       273,         0,         0,   0.015,chromobius,97dbd1d0e0e2c9e26cd110c2ba602f4ab9a44065bbc72571a65e53a71adf7e79,"{""d"":5,""p"":0.0003039195382313198,""r"":20}",
      3072,         5,         0,   0.022,chromobius,d8e9d71d34c1975987958678e3f1f0e3e71cc28c2ad46a8ac275d9b67ca6b78b,"{""d"":5,""p"":0.000221221629107045,""r"":20}",
      3072,        12,         0,   0.022,chromobius,79cf4b018da959f958f81e40242b2dc54ae663a57fa0e453f60d5a1c9171e298,"{""d"":5,""p"":0.0002592943797404667,""r"":20}",
      6144,         2,         0,   0.022,chromobius,f41f237c719f80b72a98cb8d8743e6fc55971f8e64a190a86b32a0433a5ec10f,"{""d"":5,""p"":0.0001,""r"":20}",
      1024,        10,         0,   0.016,chromobius,78637f88b424613574f5c4dd12f9af8eefddde555645e81b6d33e649be2dea89,"{""d"":5,""p"":0.0004893900918477494,""r"":20}",
      2048,        11,         0,   0.022,chromobius,9b65eef54a31c278bbdd937ed4d102b3bedba3a1f5f07857b31b35c179dcab7b,"{""d"":5,""p"":0.00041753189365604,""r"":20}",
      5120,         3,         0,   0.022,chromobius,8d50491420beed2346c615e1e9140d4075f738a553302b3c3e708d89e334fb1c,"{""d"":5,""p"":0.00013738237958832623,""r"":20}",
      4096,         3,         0,   0.020,chromobius,a8578ec9fec37e078263c0612738a66d82b8dd5557f5c6061b0a6eedd5a602cd,"{""d"":5,""p"":0.00016102620275609394,""r"":20}",
      1296,        11,         0,   0.027,chromobius,d247d66482da962abba02ce32391023cbb0548cab6180fc26263edf634c34c12,"{""d"":5,""p"":0.0005736152510448681,""r"":20}",
      2048,         7,         0,   0.018,chromobius,97dbd1d0e0e2c9e26cd110c2ba602f4ab9a44065bbc72571a65e53a71adf7e79,"{""d"":5,""p"":0.0003039195382313198,""r"":20}",
      2048,         7,         0,   0.021,chromobius,4282ad35409a1af9cea79974b30708f9311750ee1a8e5529fbf9c3192aa24de6,"{""d"":5,""p"":0.0003562247890262444,""r"":20}",
      2048,         4,         0,   0.027,chromobius,9985b576a5c2d5b2050e38c2cc1bd81575ebe2bce730d2e8f85b24b16235651a,"{""d"":5,""p"":0.00018873918221350977,""r"":20}",
      5120,         1,         0,   0.038,chromobius,d10e41061ada3165b92a471c0f58913bd6be0ef4b3603c7c73c7a2f9dbc1cc4b,"{""d"":5,""p"":0.00011721022975334806,""r"":20}",
      4096,         4,         0,   0.027,chromobius,d8e9d71d34c1975987958678e3f1f0e3e71cc28c2ad46a8ac275d9b67ca6b78b,"{""d"":5,""p"":0.000221221629107045,""r"":20}",
      4096,         4,         0,   0.029,chromobius,79cf4b018da959f958f81e40242b2dc54ae663a57fa0e453f60d5a1c9171e298,"{""d"":5,""p"":0.0002592943797404667,""r"":20}",
      2048,        14,         0,   0.028,chromobius,78637f88b424613574f5c4dd12f9af8eefddde555645e81b6d33e649be2dea89,"{""d"":5,""p"":0.0004893900918477494,""r"":20}",
      7168,         1,         0,   0.032,chromobius,f41f237c719f80b72a98cb8d8743e6fc55971f8e64a190a86b32a0433a5ec10f,"{""d"":5,""p"":0.0001,""r"":20}",
      7168,         6,         0,   0.030,chromobius,8d50491420beed2346c615e1e9140d4075f738a553302b3c3e708d89e334fb1c,"{""d"":5,""p"":0.00013738237958832623,""r"":20}",
      1024,         9,         0,   0.024,chromobius,d247d66482da962abba02ce32391023cbb0548cab6180fc26263edf634c34c12,"{""d"":5,""p"":0.0005736152510448681,""r"":20}",
      3072,        25,         0,   0.035,chromobius,9b65eef54a31c278bbdd937ed4d102b3bedba3a1f5f07857b31b35c179dcab7b,"{""d"":5,""p"":0.00041753189365604,""r"":20}",
      4096,         5,         0,   0.032,chromobius,a8578ec9fec37e078263c0612738a66d82b8dd5557f5c6061b0a6eedd5a602cd,"{""d"":5,""p"":0.00016102620275609394,""r"":20}",
      2048,        11,         0,   0.030,chromobius,97dbd1d0e0e2c9e26cd110c2ba602f4ab9a44065bbc72571a65e53a71adf7e79,"{""d"":5,""p"":0.0003039195382313198,""r"":20}",
      7168,         1,         0,   0.027,chromobius,d10e41061ada3165b92a471c0f58913bd6be0ef4b3603c7c73c7a2f9dbc1cc4b,"{""d"":5,""p"":0.00011721022975334806,""r"":20}",
      3072,        14,         0,   0.035,chromobius,4282ad35409a1af9cea79974b30708f9311750ee1a8e5529fbf9c3192aa24de6,"{""d"":5,""p"":0.0003562247890262444,""r"":20}",
      4096,         3,         0,   0.036,chromobius,9985b576a5c2d5b2050e38c2cc1bd81575ebe2bce730d2e8f85b24b16235651a,"{""d"":5,""p"":0.00018873918221350977,""r"":20}",
      2048,        18,         0,   0.028,chromobius,78637f88b424613574f5c4dd12f9af8eefddde555645e81b6d33e649be2dea89,"{""d"":5,""p"":0.0004893900918477494,""r"":20}",
      6144,         5,         0,   0.039,chromobius,d8e9d71d34c1975987958678e3f1f0e3e71cc28c2ad46a8ac275d9b67ca6b78b,"{""d"":5,""p"":0.000221221629107045,""r"":20}",
      6144,        16,         0,   0.044,chromobius,79cf4b018da959f958f81e40242b2dc54ae663a57fa0e453f60d5a1c9171e298,"{""d"":5,""p"":0.0002592943797404667,""r"":20}",
     12288,         4,         0,   0.040,chromobius,f41f237c719f80b72a98cb8d8743e6fc55971f8e64a190a86b32a0433a5ec10f,"{""d"":5,""p"":0.0001,""r"":20}",
     10240,         5,         0,   0.040,chromobius,8d50491420beed2346c615e1e9140d4075f738a553302b3c3e708d89e334fb1c,"{""d"":5,""p"":0.00013738237958832623,""r"":20}",
      2048,        30,         0,   0.041,chromobius,d247d66482da962abba02ce32391023cbb0548cab6180fc26263edf634c34c12,"{""d"":5,""p"":0.0005736152510448681,""r"":20}",
      4096,        24,         0,   0.044,chromobius,9b65eef54a31c278bbdd937ed4d102b3bedba3a1f5f07857b31b35c179dcab7b,"{""d"":5,""p"":0.00041753189365604,""r"":20}",
      5120,         3,         0,   0.042,chromobius,a8578ec9fec37e078263c0612738a66d82b8dd5557f5c6061b0a6eedd5a602cd,"{""d"":5,""p"":0.00016102620275609394,""r"":20}",
      3072,        15,         0,   0.041,chromobius,97dbd1d0e0e2c9e26cd110c2ba602f4ab9a44065bbc72571a65e53a71adf7e79,"{""d"":5,""p"":0.0003039195382313198,""r"":20}",
      4096,        23,         0,   0.039,chromobius,4282ad35409a1af9cea79974b30708f9311750ee1a8e5529fbf9c3192aa24de6,"{""d"":5,""p"":0.0003562247890262444,""r"":20}",
      6144,        12,         0,   0.041,chromobius,9985b576a5c2d5b2050e38c2cc1bd81575ebe2bce730d2e8f85b24b16235651a,"{""d"":5,""p"":0.00018873918221350977,""r"":20}",
      9216,         3,         0,   0.046,chromobius,d10e41061ada3165b92a471c0f58913bd6be0ef4b3603c7c73c7a2f9dbc1cc4b,"{""d"":5,""p"":0.00011721022975334806,""r"":20}",
      3072,        17,         0,   0.039,chromobius,78637f88b424613574f5c4dd12f9af8eefddde555645e81b6d33e649be2dea89,"{""d"":5,""p"":0.0004893900918477494,""r"":20}",
      9216,        17,         0,   0.056,chromobius,d8e9d71d34c1975987958678e3f1f0e3e71cc28c2ad46a8ac275d9b67ca6b78b,"{""d"":5,""p"":0.000221221629107045,""r"":20}",
      2048,        25,         0,   0.046,chromobius,d247d66482da962abba02ce32391023cbb0548cab6180fc26263edf634c34c12,"{""d"":5,""p"":0.0005736152510448681,""r"":20}",
      8192,        21,         0,   0.057,chromobius,79cf4b018da959f958f81e40242b2dc54ae663a57fa0e453f60d5a1c9171e298,"{""d"":5,""p"":0.0002592943797404667,""r"":20}",
     13312,         5,         0,   0.054,chromobius,8d50491420beed2346c615e1e9140d4075f738a553302b3c3e708d89e334fb1c,"{""d"":5,""p"":0.00013738237958832623,""r"":20}",
     16384,         5,         0,   0.055,chromobius,f41f237c719f80b72a98cb8d8743e6fc55971f8e64a190a86b32a0433a5ec10f,"{""d"":5,""p"":0.0001,""r"":20}",
      4096,        13,         0,   0.045,chromobius,97dbd1d0e0e2c9e26cd110c2ba602f4ab9a44065bbc72571a65e53a71adf7e79,"{""d"":5,""p"":0.0003039195382313198,""r"":20}",
      5120,        29,         0,   0.056,chromobius,9b65eef54a31c278bbdd937ed4d102b3bedba3a1f5f07857b31b35c179dcab7b,"{""d"":5,""p"":0.00041753189365604,""r"":20}",
      8192,         8,         0,   0.053,chromobius,a8578ec9fec37e078263c0612738a66d82b8dd5557f5c6061b0a6eedd5a602cd,"{""d"":5,""p"":0.00016102620275609394,""r"":20}",
      5120,        20,         0,   0.055,chromobius,4282ad35409a1af9cea79974b30708f9311750ee1a8e5529fbf9c3192aa24de6,"{""d"":5,""p"":0.0003562247890262444,""r"":20}",
     10240,         3,         0,   0.054,chromobius,d10e41061ada3165b92a471c0f58913bd6be0ef4b3603c7c73c7a2f9dbc1cc4b,"{""d"":5,""p"":0.00011721022975334806,""r"":20}",
      8192,        16,         0,   0.056,chromobius,9985b576a5c2d5b2050e38c2cc1bd81575ebe2bce730d2e8f85b24b16235651a,"{""d"":5,""p"":0.00018873918221350977,""r"":20}",
      4096,        33,         0,   0.058,chromobius,78637f88b424613574f5c4dd12f9af8eefddde555645e81b6d33e649be2dea89,"{""d"":5,""p"":0.0004893900918477494,""r"":20}",
      6144,        13,         0,   0.059,chromobius,97dbd1d0e0e2c9e26cd110c2ba602f4ab9a44065bbc72571a65e53a71adf7e79,"{""d"":5,""p"":0.0003039195382313198,""r"":20}",
      3072,        31,         0,   0.073,chromobius,d247d66482da962abba02ce32391023cbb0548cab6180fc26263edf634c34c12,"{""d"":5,""p"":0.0005736152510448681,""r"":20}",
     12288,        15,         0,   0.077,chromobius,d8e9d71d34c1975987958678e3f1f0e3e71cc28c2ad46a8ac275d9b67ca6b78b,"{""d"":5,""p"":0.000221221629107045,""r"":20}",
     18432,        16,         0,   0.074,chromobius,8d50491420beed2346c615e1e9140d4075f738a553302b3c3e708d89e334fb1c,"{""d"":5,""p"":0.00013738237958832623,""r"":20}",
     23552,         9,         0,   0.077,chromobius,f41f237c719f80b72a98cb8d8743e6fc55971f8e64a190a86b32a0433a5ec10f,"{""d"":5,""p"":0.0001,""r"":20}",
     11264,        24,         0,   0.080,chromobius,79cf4b018da959f958f81e40242b2dc54ae663a57fa0e453f60d5a1c9171e298,"{""d"":5,""p"":0.0002592943797404667,""r"":20}",
     12288,        11,         0,   0.075,chromobius,a8578ec9fec37e078263c0612738a66d82b8dd5557f5c6061b0a6eedd5a602cd,"{""d"":5,""p"":0.00016102620275609394,""r"":20}",
      7168,        50,         0,   0.077,chromobius,9b65eef54a31c278bbdd937ed4d102b3bedba3a1f5f07857b31b35c179dcab7b,"{""d"":5,""p"":0.00041753189365604,""r"":20}",
      8192,        29,         0,   0.077,chromobius,4282ad35409a1af9cea79974b30708f9311750ee1a8e5529fbf9c3192aa24de6,"{""d"":5,""p"":0.0003562247890262444,""r"":20}",
      9216,        11,         0,   0.075,chromobius,9985b576a5c2d5b2050e38c2cc1bd81575ebe2bce730d2e8f85b24b16235651a,"{""d"":5,""p"":0.00018873918221350977,""r"":20}",
     15360,         7,         0,   0.080,chromobius,d10e41061ada3165b92a471c0f58913bd6be0ef4b3603c7c73c7a2f9dbc1cc4b,"{""d"":5,""p"":0.00011721022975334806,""r"":20}",
      6144,        59,         0,   0.084,chromobius,78637f88b424613574f5c4dd12f9af8eefddde555645e81b6d33e649be2dea89,"{""d"":5,""p"":0.0004893900918477494,""r"":20}",
      6144,        22,         0,   0.078,chromobius,97dbd1d0e0e2c9e26cd110c2ba602f4ab9a44065bbc72571a65e53a71adf7e79,"{""d"":5,""p"":0.0003039195382313198,""r"":20}",
      4096,        49,         0,   0.081,chromobius,d247d66482da962abba02ce32391023cbb0548cab6180fc26263edf634c34c12,"{""d"":5,""p"":0.0005736152510448681,""r"":20}",
     17408,        21,         0,   0.106,chromobius,d8e9d71d34c1975987958678e3f1f0e3e71cc28c2ad46a8ac275d9b67ca6b78b,"{""d"":5,""p"":0.000221221629107045,""r"":20}",
     26624,        18,         0,   0.107,chromobius,8d50491420beed2346c615e1e9140d4075f738a553302b3c3e708d89e334fb1c,"{""d"":5,""p"":0.00013738237958832623,""r"":20}",
     31744,        12,         0,   0.105,chromobius,f41f237c719f80b72a98cb8d8743e6fc55971f8e64a190a86b32a0433a5ec10f,"{""d"":5,""p"":0.0001,""r"":20}",
     15360,        37,         0,   0.109,chromobius,79cf4b018da959f958f81e40242b2dc54ae663a57fa0e453f60d5a1c9171e298,"{""d"":5,""p"":0.0002592943797404667,""r"":20}",
     17408,        13,         0,   0.109,chromobius,a8578ec9fec37e078263c0612738a66d82b8dd5557f5c6061b0a6eedd5a602cd,"{""d"":5,""p"":0.00016102620275609394,""r"":20}",
     10240,        60,         0,   0.109,chromobius,9b65eef54a31c278bbdd937ed4d102b3bedba3a1f5f07857b31b35c179dcab7b,"{""d"":5,""p"":0.00041753189365604,""r"":20}",
     11264,        49,         0,   0.109,chromobius,4282ad35409a1af9cea79974b30708f9311750ee1a8e5529fbf9c3192aa24de6,"{""d"":5,""p"":0.0003562247890262444,""r"":20}",
     27648,         7,         0,   0.104,chromobius,d10e41061ada3165b92a471c0f58913bd6be0ef4b3603c7c73c7a2f9dbc1cc4b,"{""d"":5,""p"":0.00011721022975334806,""r"":20}",
     15360,        23,         0,   0.111,chromobius,9985b576a5c2d5b2050e38c2cc1bd81575ebe2bce730d2e8f85b24b16235651a,"{""d"":5,""p"":0.00018873918221350977,""r"":20}",
      8192,        67,         0,   0.109,chromobius,78637f88b424613574f5c4dd12f9af8eefddde555645e81b6d33e649be2dea89,"{""d"":5,""p"":0.0004893900918477494,""r"":20}",
     12288,        39,         0,   0.109,chromobius,97dbd1d0e0e2c9e26cd110c2ba602f4ab9a44065bbc72571a65e53a71adf7e79,"{""d"":5,""p"":0.0003039195382313198,""r"":20}",
      7168,        83,         0,   0.119,chromobius,d247d66482da962abba02ce32391023cbb0548cab6180fc26263edf634c34c12,"{""d"":5,""p"":0.0005736152510448681,""r"":20}",
     23552,        47,         0,   0.147,chromobius,d8e9d71d34c1975987958678e3f1f0e3e71cc28c2ad46a8ac275d9b67ca6b78b,"{""d"":5,""p"":0.000221221629107045,""r"":20}",
     36864,        21,         0,   0.146,chromobius,8d50491420beed2346c615e1e9140d4075f738a553302b3c3e708d89e334fb1c,"{""d"":5,""p"":0.00013738237958832623,""r"":20}",
     46080,         6,         0,   0.146,chromobius,f41f237c719f80b72a98cb8d8743e6fc55971f8e64a190a86b32a0433a5ec10f,"{""d"":5,""p"":0.0001,""r"":20}",
     20480,        48,         0,   0.147,chromobius,79cf4b018da959f958f81e40242b2dc54ae663a57fa0e453f60d5a1c9171e298,"{""d"":5,""p"":0.0002592943797404667,""r"":20}",
     30720,        30,         0,   0.148,chromobius,a8578ec9fec37e078263c0612738a66d82b8dd5557f5c6061b0a6eedd5a602cd,"{""d"":5,""p"":0.00016102620275609394,""r"":20}",
     14336,        68,         0,   0.155,chromobius,9b65eef54a31c278bbdd937ed4d102b3bedba3a1f5f07857b31b35c179dcab7b,"{""d"":5,""p"":0.00041753189365604,""r"":20}",
     41984,        17,         0,   0.148,chromobius,d10e41061ada3165b92a471c0f58913bd6be0ef4b3603c7c73c7a2f9dbc1cc4b,"{""d"":5,""p"":0.00011721022975334806,""r"":20}",
