     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      2048,        24,         0,   0.121,chromobius,7432645dfb0e9240df5de1b960e767679ecc4d12ef3f6a8dcf2b995488f5278b,"{""d"":7,""p"":0.0004893900918477494,""r"":28}",
      2048,        21,         0,   0.129,chromobius,7432645dfb0e9240df5de1b960e767679ecc4d12ef3f6a8dcf2b995488f5278b,"{""d"":7,""p"":0.0004893900918477494,""r"":28}",
      2048,        14,         0,   0.130,chromobius,7432645dfb0e9240df5de1b960e767679ecc4d12ef3f6a8dcf2b995488f5278b,"{""d"":7,""p"":0.0004893900918477494,""r"":28}",
      3072,        19,         0,   0.187,chromobius,7432645dfb0e9240df5de1b960e767679ecc4d12ef3f6a8dcf2b995488f5278b,"{""d"":7,""p"":0.0004893900918477494,""r"":28}",
     37888,       196,         0,    1.57,chromobius,9cb6fe268404e3b83e6891e273365c82e0e7f6f9a5c76e2e1fc224ede16edc52,"{""d"":7,""p"":0.00041753189365604,""r"":28}",
      4096,        26,         0,   0.256,chromobius,7432645dfb0e9240df5de1b960e767679ecc4d12ef3f6a8dcf2b995488f5278b,"{""d"":7,""p"":0.0004893900918477494,""r"":28}",
     95232,       212,         0,    3.08,chromobius,b6e2d8cbb246ade578edc36bec96423bc615910a1b46a4125ee149c8d12fdcea,"{""d"":7,""p"":0.0003039195382313198,""r"":28}",
      5120,        34,         0,   0.324,chromobius,7432645dfb0e9240df5de1b960e767679ecc4d12ef3f6a8dcf2b995488f5278b,"{""d"":7,""p"":0.0004893900918477494,""r"":28}",
    402432,        71,         0,    4.24,chromobius,c231a2c617033823668e2229d87e3313af9499a902dd252c02b0c6c5a73551b9,"{""d"":7,""p"":0.0001,""r"":28}",
    313344,        98,         0,    4.24,chromobius,e237c3fe94c11a918b39f51cae3a6e363feef7644e7f0baa16aca32c95b765b6,"{""d"":7,""p"":0.00011721022975334806,""r"":28}",
      7168,        53,         0,   0.424,chromobius,7432645dfb0e9240df5de1b960e767679ecc4d12ef3f6a8dcf2b995488f5278b,"{""d"":7,""p"":0.0004893900918477494,""r"":28}",
    315392,       126,         0,    4.25,chromobius,4a36b7e21a3f27d16a040063e2c5deb44e611e0ee373e0558f774b06c456436f,"{""d"":7,""p"":0.00013738237958832623,""r"":28}",
     72704,       243,         0,    3.04,chromobius,fdcdaa8a6d0e4f8443a122a24813993d8a0ccab1310d147fd7989333c6afb0ba,"{""d"":7,""p"":0.0003562247890262444,""r"":28}",
      9216,        70,         0,   0.572,chromobius,7432645dfb0e9240df5de1b960e767679ecc4d12ef3f6a8dcf2b995488f5278b,"{""d"":7,""p"":0.0004893900918477494,""r"":28}",
   2140160,      1212,         0,    8.24,chromobius,c59e09c509753ccabd247ebc6b5b168f1ba6a32a8ae9bd481dc2a3a04b740003,"{""d"":5,""p"":0.0001,""r"":20}",
     55296,       275,         0,    2.18,chromobius,9cb6fe268404e3b83e6891e273365c82e0e7f6f9a5c76e2e1fc224ede16edc52,"{""d"":7,""p"":0.00041753189365604,""r"":28}",
     13312,       111,         0,   0.832,chromobius,7432645dfb0e9240df5de1b960e767679ecc4d12ef3f6a8dcf2b995488f5278b,"{""d"":7,""p"":0.0004893900918477494,""r"":28}",
