     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
      1024,       101,         0,   0.034,chromobius,1fef72c17684f9cfb32c67470279be70081e5ead5361f99c61ea0f140682b117,"{""d"":5,""p"":0.0012689610031679222,""r"":20}",
       273,        46,         0,   0.013,chromobius,0285d88d4887510d3b5ce08e07f17ce424125ab41b71e44ab1f53b8d0335e35c,"{""d"":5,""p"":0.0014873521072935117,""r"":20}",
     27648,      1181,         0,   0.614,chromobius,03aa73d4ce1d4da6926ee730e18e60792557bf3632d48b4fd70cf76416be0782,"{""d"":5,""p"":0.0007880462815669912,""r"":20}",
     21504,      1177,         0,   0.571,chromobius,43eaf10a87478e38d3c290d1fd995c364c81ba9563c1dc985181328aba7d6d1c,"{""d"":5,""p"":0.0009236708571873865,""r"":20}",
      1024,       140,         0,   0.045,chromobius,0285d88d4887510d3b5ce08e07f17ce424125ab41b71e44ab1f53b8d0335e35c,"{""d"":5,""p"":0.0014873521072935117,""r"":20}",
      2048,       215,         0,   0.073,chromobius,1fef72c17684f9cfb32c67470279be70081e5ead5361f99c61ea0f140682b117,"{""d"":5,""p"":0.0012689610031679222,""r"":20}",
       273,        44,         0,   0.015,chromobius,1b0ac57f943ffb9766c75b122d92b1e3c9c1f844a5da8d9764a4c83c59634cb6,"{""d"":5,""p"":0.0017433288221999873,""r"":20}",
      1024,       128,         0,   0.045,chromobius,0285d88d4887510d3b5ce08e07f17ce424125ab41b71e44ab1f53b8d0335e35c,"{""d"":5,""p"":0.0014873521072935117,""r"":20}",
      1024,       181,         0,   0.054,chromobius,1b0ac57f943ffb9766c75b122d92b1e3c9c1f844a5da8d9764a4c83c59634cb6,"{""d"":5,""p"":0.0017433288221999873,""r"":20}",
      2048,       202,         0,   0.076,chromobius,1fef72c17684f9cfb32c67470279be70081e5ead5361f99c61ea0f140682b117,"{""d"":5,""p"":0.0012689610031679222,""r"":20}",
      1024,       124,         0,   0.046,chromobius,0285d88d4887510d3b5ce08e07f17ce424125ab41b71e44ab1f53b8d0335e35c,"{""d"":5,""p"":0.0014873521072935117,""r"":20}",
      1024,       194,         0,   0.054,chromobius,1b0ac57f943ffb9766c75b122d92b1e3c9c1f844a5da8d9764a4c83c59634cb6,"{""d"":5,""p"":0.0017433288221999873,""r"":20}",
      1024,       140,         0,   0.046,chromobius,0285d88d4887510d3b5ce08e07f17ce424125ab41b71e44ab1f53b8d0335e35c,"{""d"":5,""p"":0.0014873521072935117,""r"":20}",
      2048,       215,         0,   0.077,chromobius,1fef72c17684f9cfb32c67470279be70081e5ead5361f99c61ea0f140682b117,"{""d"":5,""p"":0.0012689610031679222,""r"":20}",
      1024,       190,         0,   0.055,chromobius,1b0ac57f943ffb9766c75b122d92b1e3c9c1f844a5da8d9764a4c83c59634cb6,"{""d"":5,""p"":0.0017433288221999873,""r"":20}",
     10240,       767,         0,   0.318,chromobius,93fdd4ac9ae381e4d35423ecce85a17bdb49f81a7bf25840f0ee56553c4c13ca,"{""d"":5,""p"":0.001082636733874054,""r"":20}",
    671744,       535,         0,    2.15,chromobius,7b8a0c103cc4c9a69c0591e728f476337ef38e5714779c79a11bd0912526afeb,"{""d"":5,""p"":0.0001,""r"":20}",
    451584,       786,         0,    2.16,chromobius,11571ef97b5bb15de06366ca20660b2d546992cdbd601a0e94f648feeb6b2cb9,"{""d"":5,""p"":0.00016102620275609394,""r"":20}",
      2048,       279,         0,   0.094,chromobius,0285d88d4887510d3b5ce08e07f17ce424125ab41b71e44ab1f53b8d0335e35c,"{""d"":5,""p"":0.0014873521072935117,""r"":20}",
      1024,       187,         0,   0.055,chromobius,1b0ac57f943ffb9766c75b122d92b1e3c9c1f844a5da8d9764a4c83c59634cb6,"{""d"":5,""p"":0.0017433288221999873,""r"":20}",
    593920,       621,         0,    2.15,chromobius,8f4cc7a096c8acf5a76ff25c6e12a2ebe0b564466a81acee7899b239c794c992,"{""d"":5,""p"":0.00011721022975334806,""r"":20}",
    520192,       689,         0,    2.16,chromobius,ea759473ddebb23b264020163b3f9e1ba05e844b0e7c802d13bb01818d3815cd,"{""d"":5,""p"":0.00013738237958832623,""r"":20}",
    389120,       910,         0,    2.17,chromobius,4f0061d2caa5545d7cfe783ece91150749fbc62393ce2785b3bbc8b84bf2fb32,"{""d"":5,""p"":0.00018873918221350977,""r"":20}",
